Total Nacional;Comunidades y Ciudades Autónomas;Periodo;Total
Total Nacional;13 Madrid, Comunidad de;2019;11,9
Total Nacional;13 Madrid, Comunidad de;2018;14,4
Total Nacional;13 Madrid, Comunidad de;2017;13,9
Total Nacional;13 Madrid, Comunidad de;2016;14,6
Total Nacional;13 Madrid, Comunidad de;2015;15,6
Total Nacional;13 Madrid, Comunidad de;2014;18,3
Total Nacional;13 Madrid, Comunidad de;2013;19,7
Total Nacional;13 Madrid, Comunidad de;2012;21,5
Total Nacional;13 Madrid, Comunidad de;2011;19,5
Total Nacional;13 Madrid, Comunidad de;2010;22,3
Total Nacional;13 Madrid, Comunidad de;2009;26,2
Total Nacional;13 Madrid, Comunidad de;2008;27,1
Total Nacional;13 Madrid, Comunidad de;2007;25,8
Total Nacional;13 Madrid, Comunidad de;2006;25,8
Total Nacional;13 Madrid, Comunidad de;2005;26,4
Total Nacional;13 Madrid, Comunidad de;2004;25,6
Total Nacional;14 Murcia, Región de;2023;19,2
Total Nacional;14 Murcia, Región de;2022;18,4
Total Nacional;14 Murcia, Región de;2021;16,6
Total Nacional;14 Murcia, Región de;2020;18,7
Total Nacional;14 Murcia, Región de;2019;22,6
Total Nacional;14 Murcia, Región de;2018;24,1
Total Nacional;14 Murcia, Región de;2017;23,1
Total Nacional;14 Murcia, Región de;2016;26,4
Total Nacional;14 Murcia, Región de;2015;23,6
Total Nacional;14 Murcia, Región de;2014;24,1
Total Nacional;14 Murcia, Región de;2013;26,3
Total Nacional;14 Murcia, Región de;2012;26,9
Total Nacional;14 Murcia, Región de;2011;30,3
Total Nacional;14 Murcia, Región de;2010;34,9
Total Nacional;14 Murcia, Región de;2009;36,8
Total Nacional;14 Murcia, Región de;2008;40,6
Total Nacional;14 Murcia, Región de;2007;39,2
Total Nacional;14 Murcia, Región de;2006;38,6
Total Nacional;14 Murcia, Región de;2005;39,8
Total Nacional;14 Murcia, Región de;2004;43,6
Total Nacional;15 Navarra, Comunidad Foral de;2023;6,5
Total Nacional;15 Navarra, Comunidad Foral de;2022;5,2
Total Nacional;15 Navarra, Comunidad Foral de;2021;8,4
Total Nacional;15 Navarra, Comunidad Foral de;2020;10,8
Total Nacional;15 Navarra, Comunidad Foral de;2019;13,9
Total Nacional;15 Navarra, Comunidad Foral de;2018;11,4
Total Nacional;15 Navarra, Comunidad Foral de;2017;11,3
Total Nacional;15 Navarra, Comunidad Foral de;2016;13,4
